# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.404195010662078857e-01 3.594208955764770508e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.471187055110931396e-01 3.663229048252105713e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.295009732246398926e+00
1.000000000000000000e+03 8.357154205441474915e-03 7.540955208241939545e-03 3.213716581740300171e-08 3.313911729492247105e-04 9.267939254641532898e-03 7.004670798778533936e-03 3.213716581740300171e-08 3.313911729492247105e-04 7.732365131378173828e-01
2.000000000000000000e+03 4.007781855762004852e-03 3.539113560691475868e-03 9.740363111632177606e-07 7.839809404686093330e-05 4.583882167935371399e-03 3.515767864882946014e-03 9.740363111632177606e-07 7.839809404686093330e-05 5.099722743034362793e-01
3.000000000000000000e+03 1.384211936965584755e-03 1.909613492898643017e-03 1.509663434262620285e-06 2.609043440315872431e-05 1.621333300136029720e-03 1.650312682613730431e-03 1.509663434262620285e-06 2.609043440315872431e-05 3.023293614387512207e-01
4.000000000000000000e+03 1.335649722022935748e-04 1.032000363920815289e-04 9.541411571944991010e-08 6.135968533271807246e-07 1.345555792795494199e-04 1.046349862008355558e-04 9.541411571944991010e-08 6.135968533271807246e-07 5.130988359451293945e-02
5.000000000000000000e+03 1.105454750359058380e-03 1.578708994202315807e-03 1.881571961348527111e-06 1.090382429538294673e-04 1.163529814220964909e-03 1.601716037839651108e-03 1.881571961348527111e-06 1.090382429538294673e-04 4.937304928898811340e-02
6.000000000000000000e+03 5.657832953147590160e-04 6.863985327072441578e-04 6.653584478044649586e-06 4.968117718817666173e-05 5.593879614025354385e-04 7.241062703542411327e-04 6.653584478044649586e-06 4.968117718817666173e-05 3.604971617460250854e-02
7.000000000000000000e+03 1.388966666127089411e-05 4.345521665527485311e-05 3.453782710494124331e-06 5.644054908771067858e-06 1.132364377554040402e-05 5.124417657498270273e-05 3.453782710494124331e-06 5.644054908771067858e-06 7.660452742129564285e-03
8.000000000000000000e+03 4.219817128614522517e-06 5.209261871641501784e-06 1.890551288852293510e-07 8.422475161751208361e-08 5.159914053365355358e-06 7.953940439620055258e-06 1.890551288852293510e-07 8.422475161751208361e-08 3.511771792545914650e-03
9.000000000000000000e+03 2.323607759535661899e-06 3.434748350628069602e-06 1.850369968359188988e-09 1.691446982476918492e-09 2.910811417677905411e-06 5.726004928874317557e-06 1.850369968359188988e-09 1.691446982476918492e-09 2.307880204170942307e-03
1.000000000000000000e+04 1.867738774308236316e-06 3.445413767622085288e-06 9.425200886425955105e-08 9.919409649228327908e-08 2.566417606431059539e-06 5.319431693351361901e-06 9.425200886425955105e-08 9.919409649228327908e-08 2.433639485388994217e-03
1.100000000000000000e+04 1.265596324628859293e-06 2.656955075508449227e-06 2.748148930642457799e-10 5.130118552187923342e-10 1.729738983158313204e-06 4.458310741028981283e-06 2.748148930642457799e-10 5.130118552187923342e-10 1.749048242345452309e-03
1.200000000000000000e+04 9.816016017794026993e-07 2.355674268983420916e-06 3.588329633430475951e-11 2.513758090572082438e-10 1.347888314739975613e-06 3.997733983851503581e-06 3.588329633430475951e-11 2.513758090572082438e-10 1.507241744548082352e-03
1.300000000000000000e+04 9.594626817488460802e-07 2.451395630487240851e-06 8.188223432625818532e-08 5.233233935086900601e-08 1.327434802078641951e-06 3.917862613889155909e-06 8.188223432625818532e-08 5.233233935086900601e-08 1.548916799947619438e-03
1.400000000000000000e+04 2.074874146273941733e-06 3.332653022880549543e-06 7.981420253599935677e-07 2.189270986718838685e-07 2.385841526120202616e-06 4.515840373642276973e-06 7.981420253599935677e-07 2.189270986718838685e-07 1.843696576543152332e-03
1.500000000000000000e+04 3.072686922678258270e-06 5.034744390286505222e-06 1.631165901017084252e-06 6.987213510001311079e-07 3.401749836484668776e-06 6.120001671661157161e-06 1.631165901017084252e-06 6.987213510001311079e-07 2.479103393852710724e-03
1.600000000000000000e+04 8.531420121471455786e-07 2.208368869105470367e-06 1.014239927599192015e-07 1.296086793445283547e-09 1.084385417016164865e-06 3.457746288404450752e-06 1.014239927599192015e-07 1.296086793445283547e-09 1.660389476455748081e-03
1.700000000000000000e+04 6.855914875814050902e-07 2.062529347313102335e-06 6.488617199096324839e-09 4.209029214052861789e-08 9.073337423615157604e-07 3.213262743884115480e-06 6.488617199096324839e-09 4.209029214052861789e-08 1.424648566171526909e-03
1.800000000000000000e+04 3.803778838573634857e-07 1.685128154349513352e-06 5.988509688137355624e-10 9.349641061362490291e-10 5.187435476727841888e-07 2.745526671787956730e-06 5.988509688137355624e-10 9.349641061362490291e-10 6.669804570265114307e-04
1.900000000000000000e+04 3.621134112563595409e-07 1.583591028975206427e-06 3.043899854393572468e-11 1.002717908704653382e-10 4.930525392410345376e-07 2.587354401839547791e-06 3.043899854393572468e-11 1.002717908704653382e-10 5.172067321836948395e-04
2.000000000000000000e+04 3.457126922512543388e-07 1.485622419750143308e-06 1.224145784739505416e-10 4.204139258945360780e-10 4.675939067055878695e-07 2.426909077257732861e-06 1.224145784739505416e-10 4.204139258945360780e-10 4.469119594432413578e-04
