[59.5981912  30.18646756] 

5 min 43 sec   SP1: 52.0  SP2: 24.0    T1: 33.1969   T2: 25.461699999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 44 sec   SP1: 52.0  SP2: 24.0    T1: 33.5192   T2: 25.461699999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 45 sec   SP1: 52.0  SP2: 24.0    T1: 33.841499999999996   T2: 25.461699999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 46 sec   SP1: 52.0  SP2: 24.0    T1: 33.841499999999996   T2: 25.461699999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 47 sec   SP1: 52.0  SP2: 24.0    T1: 34.163799999999995   T2: 25.784     H1: 53.834064973722256   H2: 25.632632323495685
5 min 48 sec   SP1: 52.0  SP2: 24.0    T1: 34.163799999999995   T2: 25.784     H1: 53.834064973722256   H2: 25.632632323495685
5 min 49 sec   SP1: 52.0  SP2: 24.0    T1: 34.163799999999995   T2: 25.784     H1: 53.834064973722256   H2: 25.632632323495685
5 min 50 sec   SP1: 52.0  SP2: 24.0    T1: 34.4861   T2: 25.784     H1: 53.834064973722256   H2: 25.632632323495685
5 min 51 sec   SP1: 52.0  SP2: 24.0    T1: 34.4861   T2: 26.106299999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 52 sec   SP1: 52.0  SP2: 24.0    T1: 34.8084   T2: 26.106299999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 53 sec   SP1: 52.0  SP2: 24.0    T1: 34.8084   T2: 26.106299999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 54 sec   SP1: 52.0  SP2: 24.0    T1: 35.1307   T2: 26.106299999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 55 sec   SP1: 52.0  SP2: 24.0    T1: 35.1307   T2: 26.106299999999997     H1: 53.834064973722256   H2: 25.632632323495685
5 min 56 sec   SP1: 52.0  SP2: 24.0    T1: 35.452999999999996   T2: 26.4286     H1: 53.834064973722256   H2: 25.632632323495685
5 min 57 sec   SP1: 52.0  SP2: 24.0    T1: 35.452999999999996   T2: 26.4286     H1: 53.834064973722256   H2: 25.632632323495685
5 min 58 sec   SP1: 52.0  SP2: 24.0    T1: 35.775299999999994   T2: 26.4286     H1: 53.834064973722256   H2: 25.632632323495685
5 min 59 sec   SP1: 52.0  SP2: 24.0    T1: 35.775299999999994   T2: 26.4286     H1: 53.834064973722256   H2: 25.632632323495685
[5.99833479e+01 1.44562927e-02] 

6 min 0 sec   SP1: 52.0  SP2: 24.0    T1: 36.0976   T2: 26.4286     H1: 53.834064973722256   H2: 25.632632323495685
6 min 1 sec   SP1: 52.0  SP2: 24.0    T1: 44.1551   T2: 29.6516     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 2 sec   SP1: 52.0  SP2: 24.0    T1: 44.1551   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
