,Ore_amps,Sulfur_tph,O2_scfm,Carbon_in,Sulf_in,CO3_in,O2,CO2,SO2,TCM,FeS2,CaCO3,T_1,T_2
0,90.0,11.0,7400.0,0.87,0.64,17.92,14.1787269,45.1533335,6.21908174,0.185126582,0.0245883492,16.2814379,1020.0920324000001,1036.061618
1,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726848,45.153333473,6.2190817199,0.18512658264,0.024588349178,16.281437899,1020.092032598,1036.061617766
2,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726853,45.153333462,6.2190817225,0.18512658261,0.024588349188,16.281437895,1020.09203258,1036.061617802
3,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726854,45.153333458,6.2190817233,0.18512658259,0.024588349191,16.28143789,1020.092032562,1036.061617802
4,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726855,45.153333456,6.2190817235,0.18512658256,0.024588349189,16.281437886,1020.0920325440002,1036.061617784
5,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726855,45.153333455,6.2190817236,0.18512658254,0.024588349184,16.281437883,1020.0920325440002,1036.061617766
6,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726855,45.153333454,6.2190817236,0.18512658252,0.02458834918,16.28143788,1020.0920325440002,1036.0616177480001
7,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726855,45.153333454,6.2190817236,0.1851265825,0.024588349176,16.281437877,1020.0920325440002,1036.06161773
8,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726855,45.153333455,6.2190817236,0.18512658248,0.024588349172,16.281437876,1020.0920325260001,1036.0616177119998
9,90.0,11.0,7400.0,0.87,0.64,17.92,14.178726854,45.153333455,6.2190817236,0.18512658246,0.02458834917,16.281437874,1020.0920325260001,1036.0616176940002
10,90.0,11.0,7400.0,0.8463333333333334,0.64,17.92,14.19761383,45.13204623,6.2190386436,0.18332564987,0.02458415269,16.281335085,1020.0292523239999,1035.9741304039999
11,90.0,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,14.399749434,45.009665905,6.2066864829,0.18111021128,0.02457450096,16.281156372,1020.018196922,1035.731630822
12,90.0,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,14.664360993,44.853604177,6.1899647224,0.1790711054,0.024564705903,16.280941408,1020.0045724880001,1035.543866612
13,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,14.884516641,44.740994868,6.1770977806,0.17911823437,0.025054041965,16.284290266,1019.6507838560001,1037.08053176
14,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.063819151,44.660889536,6.1630338598,0.17982057712,0.025334963922,16.28791967,1019.3033005699999,1037.621136272
15,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.20712402,44.602967295,6.1496221194,0.18057437841,0.025416065099,16.290948856,1019.0516712799999,1037.6382627859998
16,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.319050375,44.561220689,6.1380523976,0.18117143188,0.025391913326,16.293297338,1018.872680846,1037.406677918
17,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.40446328,44.531722627,6.1286598081,0.18157609609,0.025327547564,16.295078577,1018.747390424,1037.083833122
18,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.468261201,44.511518815,6.1213060054,0.18181704724,0.025255930934,16.296420885,1018.6606338080001,1036.752670238
19,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.64,17.92,15.515007652,44.498230941,6.1156755107,0.18193873704,0.025190897508,16.297429317,1018.6009532060001,1036.452204446
20,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,15.539107013,44.495755552,6.114962202,0.18198672141,0.025378646559,16.29748474,1018.6033370900001,1036.243739786
21,97.26666666666667,11.0,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,15.551117575,44.49967813,6.1142237017,0.18199036698,0.025504792714,16.29671621,1018.6000900880001,1036.075806968
22,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,16.082660911,44.183043347,5.8823192772,0.18185461688,0.025481515515,16.325450858,1016.05611371,1035.2441717240001
23,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,16.454209671,43.869562844,5.8349395953,0.18171108079,0.025446368048,16.370963925,1015.8242498960001,1035.039465482
24,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,16.705086018,43.641383375,5.8240306292,0.18158671311,0.025420717066,16.420635809,1015.77695045,1034.923041482
25,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,16.872915248,43.485914744,5.8207078756,0.18148800574,0.02540479033,16.467277187,1015.7662051340001,1034.84778773
26,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.92,16.984899082,43.381853,5.8192303844,0.18141351488,0.025395354247,16.507718234,1015.7631397520001,1034.797215956
27,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.343333333333334,17.059570819,43.312545626,5.8183755035,0.18135856326,0.025389541481,16.487283661,1015.762769492,1034.754331064
28,97.26666666666667,10.48,7756.666666666667,0.8463333333333334,0.6496666666666666,17.343333333333334,17.109367687,43.266433373,5.8178295251,0.18131932696,0.025386097666,16.441093489,1015.7644384519999,1034.7282249260002
