Q1,T1,Tsp
0.1824157087326119,23.64,23.67
0.002415708732605072,23.67,23.67
0.0,23.8,23.67
0.0,23.8,23.67
0.0,23.8,23.67
0.0,23.8,23.67
0.0,23.77,23.67
0.0,23.8,23.67
0.002415708732605071,23.67,23.67
0.0,23.77,23.67
0.0,23.77,23.67
0.0,23.77,23.67
0.0,23.77,23.67
0.0,23.8,23.67
0.0,23.73,23.67
0.3672187002182146,23.61,23.67
1.1624308549881062,23.48,23.67
1.17763470726014,23.48,23.67
0.037634707260132315,23.67,23.67
0.4024389564514303,23.61,23.67
1.0153356391906754,23.51,23.67
0.0,23.7,23.67
0.0,23.77,23.67
0.4201654098510887,23.61,23.67
0.0,23.73,23.67
0.0,23.77,23.67
0.0,23.77,23.67
0.0,23.73,23.67
0.0,23.8,23.67
1.2153952314376917,23.48,23.67
100.0,23.54,41.0
100.0,23.73,41.0
100.0,23.73,41.0
100.0,23.8,41.0
100.0,23.8,41.0
100.0,23.8,41.0
100.0,23.8,41.0
100.0,23.8,41.0
100.0,23.8,41.0
100.0,23.83,41.0
100.0,23.96,41.0
100.0,24.12,41.0
100.0,24.12,41.0
100.0,24.22,41.0
100.0,24.44,41.0
100.0,24.44,41.0
98.75390203056335,24.77,41.0
100.0,24.77,41.0
98.11655929470064,25.09,41.0
99.20787401332855,25.12,41.0
98.7158438671112,25.41,41.0
98.80857173423766,25.6,41.0
99.25114772014618,25.73,41.0
98.52725265483855,26.05,41.0
98.69236628322602,26.22,41.0
98.90267066936492,26.38,41.0
98.12827935390473,26.7,41.0
97.93534644374847,26.92,41.0
98.45379764003754,27.02,41.0
97.62668414058686,27.34,41.0
96.71925096397399,27.67,41.0
96.02313145713805,27.96,41.0
95.7307514541626,28.18,41.0
95.96637115592958,28.31,41.0
95.03703382530213,28.63,41.0
94.02162616157531,28.96,41.0
93.04533576774597,29.28,41.0
92.03822878456114,29.6,41.0
92.34367219161989,29.7,41.0
91.91038982696531,29.92,41.0
90.85717969055176,30.24,41.0
89.71165011405944,30.57,41.0
88.60689439830779,30.89,41.0
87.47165433597564,31.21,41.0
86.31506994857787,31.53,41.0
85.0712593208313,31.86,41.0
84.28710671157836,32.11,41.0
82.81002555179596,32.47,41.0
82.52075280570982,32.63,41.0
81.8558869667053,32.85,41.0
80.749546395874,33.14,41.0
79.37230487976075,33.47,41.0
78.0295332540512,33.79,41.0
76.66491452713012,34.11,41.0
75.27126414833069,34.43,41.0
74.03410194969177,34.72,41.0
74.11102181739807,34.79,41.0
72.84806640357971,35.08,41.0
71.37631452674864,35.4,41.0
70.06119210739135,35.69,41.0
68.72599069519043,35.98,41.0
67.72943052043912,36.21,41.0
66.95856848278044,36.4,41.0
65.5635023153305,36.69,41.0
63.962921568679796,37.01,41.0
63.3093514467239,37.17,41.0
62.64341246471403,37.33,41.0
60.93233716220855,37.66,41.0
59.681312759399404,37.91,41.0
59.32069964580534,38.01,41.0
57.79808871250151,38.3,41.0
56.06868695201872,38.62,41.0
54.4971803659439,38.91,41.0
54.05666184940336,39.01,41.0
52.635916706085155,39.27,41.0
50.82872706012721,39.59,41.0
48.996033110427845,39.91,41.0
49.083361406135545,39.91,41.0
47.22540736427305,40.23,41.0
45.52380796852106,40.52,41.0
45.3190710956573,40.56,41.0
43.40873916969294,40.88,41.0
43.23599665050505,40.91,41.0
41.479979659843394,41.2,41.0
40.49114114589688,41.36,41.0
39.48935272960658,41.52,41.0
39.204486463737446,41.56,41.0
37.39595959110256,41.85,41.0
35.99022877178189,42.07,41.0
35.2961134735107,42.17,41.0
34.047298739624,42.36,41.0
33.14796491222378,42.49,41.0
31.87355174236295,42.68,41.0
30.94790938091274,42.81,41.0
30.80224609851833,42.81,41.0
29.259026137733436,43.04,41.0
28.547284243583633,43.13,41.0
28.133346257209737,43.17,41.0
26.80364760913846,43.36,41.0
26.006544970130882,43.46,41.0
25.80945593814846,43.46,41.0
24.639773633384685,43.62,41.0
23.45570214862819,43.78,41.0
23.232735053825337,43.78,41.0
23.01024130687709,43.78,41.0
21.450044067954977,44.0,41.0
20.60191499195094,44.1,41.0
20.35213814220424,44.1,41.0
20.10211951885219,44.1,41.0
19.671330274772593,44.13,41.0
19.603055507850605,44.1,41.0
17.165438630866966,44.46,41.0
17.131290818214374,44.42,41.0
16.85760536518093,44.42,41.0
16.58388925342556,44.42,41.0
16.30815468883511,44.42,41.0
16.034422399711573,44.42,41.0
15.760513920783964,44.42,41.0
15.484726844978297,44.42,41.0
15.211062200736961,44.42,41.0
14.937383466529809,44.42,41.0
14.420431415748567,44.46,41.0
14.38668073139187,44.42,41.0
14.111445773506126,44.42,41.0
13.835914861106836,44.42,41.0
13.56206098079678,44.42,41.0
13.288431039619411,44.42,41.0
13.014616232871973,44.42,41.0
12.740117671394309,44.42,41.0
12.464970123481713,44.42,41.0
12.191265753364526,44.42,41.0
11.917451011848414,44.42,41.0
11.643839009284939,44.42,41.0
11.370184736824001,44.42,41.0
11.096428638267483,44.42,41.0
10.821782458305325,44.42,41.0
10.54761514148709,44.42,41.0
10.455120342636082,44.39,41.0
10.791883507347091,44.29,41.0
11.682627100563021,44.1,41.0
11.43394423351285,44.1,41.0
11.18550101146695,44.1,41.0
10.93692587528226,44.1,41.0
10.688777464485142,44.1,41.0
10.62312470588682,44.07,41.0
10.194873649215669,44.1,41.0
10.736804148483262,43.97,41.0
11.653917703628512,43.78,41.0
11.431315681076022,43.78,41.0
11.207681434631318,43.78,41.0
11.167587178230264,43.75,41.0
10.76422770366666,43.78,41.0
11.14961853313444,43.68,41.0
12.272568304634067,43.46,41.0
12.07575690288541,43.46,41.0
11.878806521797152,43.46,41.0
11.681653630638095,43.46,41.0
11.484720094108553,43.46,41.0
13.050957392120328,43.17,41.0
13.119688918876609,43.13,41.0
12.949134578704793,43.13,41.0
13.751488699913008,42.97,41.0
14.566674856185877,42.81,41.0
14.42168080234524,42.81,41.0
14.275815525817833,42.81,41.0
14.130925627899131,42.81,41.0
13.986123591041526,42.81,41.0
13.841092597579916,42.81,41.0
13.6962918725967,42.81,41.0
14.888317476654006,42.59,41.0
15.369097099876367,42.49,41.0
15.249778334808312,42.49,41.0
15.130049419593774,42.49,41.0
15.010514069557154,42.49,41.0
15.073672437858551,42.46,41.0
15.564493144035318,42.36,41.0
16.246084885978693,42.23,41.0
16.51234521026608,42.17,41.0
16.4186533576965,42.17,41.0
16.507443638229343,42.14,41.0
17.206385536193835,42.01,41.0
18.098373733520475,41.85,41.0
18.03035327339169,41.85,41.0
17.962268401145902,41.85,41.0
17.894227010726897,41.85,41.0
17.82620325946805,41.85,41.0
18.5485711244583,41.72,41.0
18.490562364387497,41.72,41.0
19.405688066291773,41.56,41.0
19.60405262851711,41.52,41.0
19.56218694934841,41.52,41.0
19.520551303291278,41.52,41.0
19.47893498783107,41.52,41.0
19.43732516880031,41.52,41.0
19.39542946720119,41.52,41.0
19.353760416603045,41.52,41.0
19.859341282272315,41.43,41.0
21.223315082931475,41.2,41.0
21.024900983428946,41.23,41.0
21.006490963745108,41.23,41.0
21.170484391021684,41.2,41.0
21.154357796478227,41.2,41.0
21.138345616149856,41.2,41.0
21.122336685943555,41.2,41.0
21.10632846527095,41.2,41.0
21.272725887489276,41.17,41.0
22.231919579315164,41.01,41.0
22.413519844055163,40.98,41.0
22.658340446853618,40.94,41.0
23.027949789810133,40.88,41.0
23.03755022697444,40.88,41.0
23.047155921554516,40.88,41.0
23.05676445198054,40.88,41.0
23.066403847122142,40.88,41.0
23.684030169677694,40.78,41.0
23.276041530799823,40.85,41.0
23.105646241188,40.88,41.0
23.297657027244526,40.85,41.0
23.917660226821866,40.75,41.0
24.54570606231687,40.65,41.0
24.93865076599116,40.59,41.0
25.153883865356402,40.56,41.0
25.18908799438472,40.56,41.0
25.224339254760697,40.56,41.0
25.259576155853225,40.56,41.0
25.295031752777053,40.56,41.0
25.330247370910598,40.56,41.0
25.365466320800735,40.56,41.0
25.400691027831986,40.56,41.0
25.435986398315386,40.56,41.0
25.4711977615356,40.56,41.0
25.74964657745356,40.52,41.0
26.153189309692344,40.46,41.0
25.588466485595657,40.56,41.0
25.866877426147408,40.52,41.0
25.90527762756342,40.52,41.0
26.126362564849806,40.49,41.0
26.532141418266264,40.43,41.0
26.030690594291634,40.52,41.0
26.25151857051845,40.49,41.0
25.8669336744308,40.56,41.0
27.118177815055816,40.36,41.0
26.379121791458083,40.49,41.0
27.392970424270604,40.33,41.0
26.29143768806452,40.52,41.0
26.512260829734753,40.49,41.0
27.526247478294344,40.33,41.0
28.18823375015257,40.23,41.0
28.007050735473577,40.27,41.0
27.883482320785504,40.3,41.0
27.75724312191007,40.33,41.0
27.203082259941066,40.43,41.0
27.06629238452907,40.46,41.0
28.508185499382,40.23,41.0
27.35398742294308,40.43,41.0
28.190040815353374,40.3,41.0
27.63816351890561,40.4,41.0
26.956681365585272,40.52,41.0
26.995343764877266,40.52,41.0
27.398951622009236,40.46,41.0
27.07742653961176,40.52,41.0
26.872656089019724,40.56,41.0
26.90795446395869,40.56,41.0
26.94337982330317,40.56,41.0
