,Time,Ore_amps,Sulfur_tph,O2_scfm,Carbon_in,Sulf_in,CO3_in,O2,CO2,SO2,TCM,FeS2,CaCO3,T1,T2
0,0.0,90.0,11.0,7400.0,0.87,0.64,17.92,14.1787269,45.1533335,6.21908174,0.185126582,0.0245883492,16.2814379,1020.0920324000001,1036.061618
1,10.006939625260236,90.0,11.0,7400.0,0.87,0.64,17.92,14.231024023,45.122881943,6.1939560647,0.185136161,0.024590060085,16.281237871,1019.81682356,1036.3320410360002
2,20.01387925052047,90.0,11.0,7400.0,0.87,0.64,17.92,14.224764543,45.119066394,6.2062106596,0.18514783641,0.024594576182,16.281017652,1019.9785146799999,1036.403469968
3,30.02081887578071,90.0,11.0,7400.0,0.87,0.64,17.92,14.216400896,45.125107673,6.2087361165,0.18515607928,0.024597236659,16.280787889,1019.9914730420002,1036.413101282
4,40.02775850104094,90.0,11.0,7400.0,0.87,0.64,17.92,14.208507456,45.132292517,6.2092751138,0.18516157698,0.024598551362,16.280572061,1019.9939892980001,1036.4153291960001
5,50.03469812630117,90.0,11.0,7400.0,0.87,0.64,17.92,14.201745213,45.138706852,6.2094149352,0.18516517221,0.024599145069,16.280383772,1019.994507356,1036.4159643080002
6,60.04163775156142,90.0,11.0,7400.0,0.87,0.64,17.92,14.196223608,45.143993355,6.2094687759,0.18516750076,0.02459939731,16.280227473,1019.9946212240002,1036.41619145
7,70.04857737682165,90.0,11.0,7400.0,0.87,0.64,17.92,14.191848791,45.148191906,6.2094995997,0.18516899924,0.024599498772,16.28010211,1019.994650456,1036.416287192
8,80.05551700208188,90.0,11.0,7400.0,0.87,0.64,17.92,14.188455495,45.151450899,6.2095210403,0.1851699585,0.024599536847,16.28000401,1019.994660734,1036.4163304279998
9,90.06245662734212,90.0,11.0,7400.0,0.87,0.64,17.92,14.185865293,45.153939398,6.2095368301,0.18517056968,0.024599549419,16.279928644,1019.994666044,1036.41634967
10,100.06939625260235,90.0,11.0,7400.0,0.87,0.64,17.92,14.183912756,45.155815674,6.2095485665,0.18517095735,0.024599552269,16.279871559,1019.9946695900001,1036.416357338
11,110.0763358778626,90.0,11.0,7828.54081513467,0.87,0.64,17.92,14.182455704,45.157216073,6.2095572595,0.18517120215,0.024599551742,16.279828805,1019.994672236,1036.41635939
12,120.08327550312283,90.0,11.0,7828.54081513467,0.87,0.64,17.92,14.181377415,45.158252614,6.2095636589,0.18517135605,0.024599550286,16.279797077,1019.994674252,1036.41635885
13,130.09021512838305,90.0,11.0,7828.54081513467,0.87,0.64,17.92,14.180584976,45.159014497,6.2095683409,0.18517145236,0.024599548783,16.279773709,1019.9946757820001,1036.416357266
14,140.0971547536433,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.180006051,45.159571189,6.2095717475,0.18517151234,0.024599547503,16.279756607,1019.994676952,1036.4163553940002
15,150.10409437890354,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.179585263,45.15997588,6.2095742138,0.18517154949,0.024599546495,16.27974416,1019.9946778159999,1036.416353612
16,160.11103400416377,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.179280768,45.160268771,6.2095759917,0.18517157237,0.02459954573,16.279735142,1019.994678464,1036.4163520460002
17,170.117973629424,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.179061282,45.160479926,6.2095772686,0.18517158637,0.024599545161,16.279728637,1019.9946789320002,1036.416350768
18,180.12491325468423,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.178903613,45.160631631,6.2095781826,0.18517159488,0.024599544743,16.27972396,1019.994679292,1036.416349742
19,190.13185287994446,90.0,11.0,7828.54081513467,0.87,0.6016756716517135,17.92,14.178790697,45.160740291,6.2095788348,0.1851716,0.024599544439,16.279720609,1019.9946795439998,1036.4163489320001
20,200.1387925052047,99.02479008432269,11.0,7828.54081513467,0.8925643400126011,0.6016756716517135,17.92,14.176632941,45.166631645,6.2049192686,0.18455551297,0.024543220964,16.216063769,1019.3621279360001,1038.229200554
21,210.14573213046498,99.02479008432269,11.0,7828.54081513467,0.8925643400126011,0.6016756716517135,17.92,14.174302179,45.172916881,6.1999932237,0.18366003529,0.024427329497,16.130471803,1018.8239844560001,1038.768789938
22,220.1526717557252,99.02479008432269,11.0,7828.54081513467,0.8925643400126011,0.6016756716517135,17.92,14.172462116,45.177754528,6.1962839991,0.18269723403,0.024286090646,16.044350317,1018.4607533840001,1038.6852145159999
23,230.15961138098544,99.02479008432269,11.0,7097.75807727947,0.8925643400126011,0.6016756716517135,17.92,14.170976531,45.181376831,6.1936880607,0.18178462894,0.024145610249,15.967320612,1018.2164635760003,1038.325062722
24,240.16655100624567,99.02479008432269,12.265855617973662,7097.75807727947,0.8925643400126011,0.6016756716517135,17.92,12.879246413,45.973103024,6.7646236459,0.18125662223,0.024203829436,15.829836131,1024.181481398,1039.601425568
25,250.1734906315059,99.02479008432269,12.265855617973662,7097.75807727947,0.8925643400126011,0.6298379942191306,17.92,11.963779509,46.7649082,6.8822860171,0.18084350064,0.024217741057,15.664295016,1024.635446582,1039.3883240179998
26,260.1804302567661,99.02479008432269,12.265855617973662,7097.75807727947,0.8925643400126011,0.6298379942191306,17.92,11.340419625,47.348057641,6.9077404555,0.18049868702,0.024189741165,15.500600189,1024.6620246799998,1039.057485764
27,270.18736988202636,99.02479008432269,12.265855617973662,7097.75807727947,0.8925643400126011,0.6298379942191306,17.92,10.920384185,47.749676705,6.9142041302,0.18020681581,0.024143976111,15.354452584,1024.6258979420002,1038.738759656
